incident_id,date,description,city,state,location,attack_type,ideology,subideology,group,location_type,israel_zionism_related,predicted_category,terms_detected,source,processed_date
68763,2024-12-28,"Patriot Front, a white supremacist group, posted stickers that read: ""We dare to defend our rights,"" ""No Zionists in government, we serve one nation,"" and ""Life, liberty, victory.""",Longmont,CO,"Longmont, CO",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68764,2024-12-28,"Patriot Front, a white supremacist group, posted stickers that read: ""Revolution is tradition,"" ""Free occupied America,"" ""No Zionists in government, we serve one nation"" and ""Revolution is our tradition.""",Nederland,CO,"Nederland, CO",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68765,2024-12-28,"Patriot Front, a white supremacist group, posted stickers that read: ""Deport invaders, keep America American,"" ""Reclaim America,"" ""No Zionists in government, we serve one nation"" and ""America first.""",Milford,MA,"Milford, MA",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68766,2024-12-28,"Patriot Front, a white supremacist group, posted stickers that read: ""Forward for a new American nation state,"" ""For the nation, against the state,"" ""No Zionists in government, we serve one nation"" and ""Free occupied America.""",Worcester,MA,"Worcester, MA",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68767,2024-12-28,"Patriot Front, a white supremacist group, posted stickers that read: ""No more foreign wars,"" ""Revolution is tradition,"" ""No Zionists in government, we serve one nation"" and ""Life, liberty, victory.""",Birch Run,MI,"Birch Run, MI",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68768,2024-12-28,"Patriot Front, a white supremacist group, posted stickers that read: ""Defend American labor,"" ""No Zionists in government, we serve one nation,"" ""Revolution is tradition,"" ""United we stand"" and ""Strong families, strong nations.""",Geneva,OH,"Geneva, OH",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68769,2024-12-28,"Patriot Front, a white supremacist group, posted stickers that read: ""For the nation, against the state,"" ""No Zionists in government, we serve one nation,"" ""Free occupied America"" and ""Strong families, strong nations.""",Dormont,PA,"Dormont, PA",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68770,2024-12-28,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""American spirit, European blood,"" ""Better dead than red"" and ""Revolution is tradition.""",Harrisburg,PA,"Harrisburg, PA",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68771,2024-12-28,"Patriot Front, a white supremacist group, posted stickers that read: ""America first,"" ""Life, liberty, victory,"" ""No Zionists in government, we serve one nation"" and ""Deport invaders, keep America American.""",Waco,TX,"Waco, TX",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68775,2024-12-28,"A synagogue received a harassing voicemail calling for ""the American Jewish community to speak out against Israeli Prime Minister Benjamin Netanyahu.""",Las Vegas,NV,"Las Vegas, NV",Antisemitic Incident: Harassment,,,,Jewish Institution / School,1.0,Antisemitism,,refined,2025-12-16
70348,2024-12-28,"Guests staying at a Jewish-owned rental property left the reservation early. When the host asked if they could have improved the stay, the guest replied, ""Why? Are you scared to lose money?"" The host later found a pro-Palestinian message that read: ""Free Palestine"" left at the property.",Bodfish,CA,"Bodfish, CA",Antisemitic Incident: Harassment,,,,Home/Housing,1.0,Antisemitism,,refined,2025-12-16
70357,2024-12-28,"A radio host made various antisemitic comments on air, including denying the Holocaust and said, ""Zionists have taken over the U.S."" and said, ""Jews are marked with the mark of the devil.""",Denver,CO,"Denver, CO",Antisemitic Incident: Harassment,,,,Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
71560,2024-12-28,An individual made antisemitic comments in a public area.,Suffern,NY,"Suffern, NY",Antisemitic Incident: Harassment,,,,Public Area (Park/Street/Transit/Building),,Antisemitism,,refined,2025-12-16
71590,2024-12-28,"At an anti-Israel rally organized by the Palestinian Youth Movement at the University of California, Los Angeles, protesters chanted, ""Resistance is justified when people are colonized"" and ""Resistance is glorious, we will be victorious,"" slogans commonly used to support Hamas's antisemitic October 7, 2023, terrorist attack. Protesters also wore clothing created by the Palestinian Youth Movement depicting Hamas's antisemitic October 7, 2023, terror attack.",Los Angeles,CA,"Los Angeles, CA",Antisemitic Incident: Harassment,,,,College/University,1.0,Antisemitism,,refined,2025-12-16
73065,2024-12-28,"Individuals associated with the white supremacist Atlantic Nationalist Club left graffiti on the Bronx River Parkway Trail, including: ""White Jihad,"" ""Kill Antifa,"" swastikas and SS bolts.",White Plains,NY,"White Plains, NY",Antisemitic Incident: Vandalism,,,Atlantic Nationalist Club,Public Area (Park/Street/Transit/Building),,Antisemitism,,refined,2025-12-16
68737,2024-12-27,A menorah displayed in front of a Jewish family's home was smashed on the ground.,Berkeley,CA,"Berkeley, CA",Antisemitic Incident: Vandalism,,,,Home/Housing,,Antisemitism,,refined,2025-12-16
68740,2024-12-27,Individuals associated with the antisemitic and anti-Israel group Witness for Peace protested outside a synagogue during Shabbat services.,Ann Arbor,MI,"Ann Arbor, MI",Antisemitic Incident: Harassment,,,,Jewish Institution / School,1.0,Antisemitism,,refined,2025-12-16
68741,2024-12-27,"Patriot Front, a white supremacist group, posted stickers that read: ""Life, liberty, victory,"" ""No Zionists in government, we serve one nation,"" ""United we stand"" and ""Reject poison.""",Liberty,MO,"Liberty, MO",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68742,2024-12-27,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""Strong families, strong nations"" and ""Life, liberty, victory.""",Nebraska City,NE,"Nebraska City, NE",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
