incident_id,date,predicted_category_machine,predicted_category_human,state,year,month,year_month,quarter
69151,2024-01-13,Groups / Movements,Antisemitism,Washington,2024,1,2024-01,1
69152,2024-01-13,Slogans / Code words,Antisemitism,Ohio,2024,1,2024-01,1
69153,2024-01-13,Slogans / Code words,Antisemitism,Oregon,2024,1,2024-01,1
69154,2024-01-12,Numbers / Symbols,Antisemitism,California,2024,1,2024-01,1
69155,2024-01-11,Slogans / Code words,Antisemitism,Michigan,2024,1,2024-01,1
69156,2024-01-10,Slogans / Code words,Antisemitism,Wisconsin,2024,1,2024-01,1
69157,2024-01-10,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
69158,2024-01-08,Numbers / Symbols,Antisemitism,Arizona,2024,1,2024-01,1
69159,2024-01-24,Slogans / Code words,Antisemitism,New Hampshire,2024,1,2024-01,1
64994,2024-01-24,Slogans / Code words,Antisemitism,Pennsylvania,2024,1,2024-01,1
64993,2024-01-24,Slogans / Code words,Antisemitism,New York,2024,1,2024-01,1
69160,2024-01-24,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
69161,2024-01-23,Groups / Movements,Antisemitism,New Mexico,2024,1,2024-01,1
69162,2024-01-23,Numbers / Symbols,Antisemitism,Missouri,2024,1,2024-01,1
69163,2024-01-23,People,Antisemitism,California,2024,1,2024-01,1
69164,2024-01-23,Slogans / Code words,Antisemitism,Hawaii,2024,1,2024-01,1
64989,2024-01-23,"Slogans / Code words, Key Concepts / Definitions",Antisemitism,Missouri,2024,1,2024-01,1
69165,2024-01-23,Slogans / Code words,Antisemitism,Massachusetts,2024,1,2024-01,1
69166,2024-01-25,People,Antisemitism,Washington,2024,1,2024-01,1
69167,2024-01-25,Slogans / Code words,Antisemitism,Minnesota,2024,1,2024-01,1
69168,2024-01-25,Slogans / Code words,Antisemitism,Texas,2024,1,2024-01,1
64997,2024-01-25,Slogans / Code words,Antisemitism,New York,2024,1,2024-01,1
69169,2024-01-25,Slogans / Code words,Antisemitism,New York,2024,1,2024-01,1
