incident_id,confidence,is_correct,confidence_bin
63735,0.5435902717908223,0,40-50%
63455,0.6796952131589253,0,60-70%
63861,0.5982750895818074,0,50-60%
63652,0.5705773475964864,0,40-50%
63762,0.3844432198206584,0,20-30%
68991,0.4985376857916514,0,30-40%
63788,0.6021097544034322,0,50-60%
63712,0.6675636135737101,0,60-70%
63849,0.4978122356732686,0,30-40%
66656,0.5630591157277425,0,40-50%
63654,0.5950837694803873,0,50-60%
63806,0.6847233417828877,0,60-70%
63872,0.6068489832878112,0,50-60%
63713,0.5046016815503438,0,40-50%
63674,0.5860669258435567,0,50-60%
63445,0.4859822634061178,0,30-40%
63813,0.630600210348765,0,50-60%
63915,0.5976103507677714,0,50-60%
63651,0.479977393468221,0,30-40%
63709,0.4813190642197927,0,30-40%
63677,0.5617819670041402,0,40-50%
63779,0.5710706078211466,0,40-50%
63516,0.4452114962736765,0,30-40%
63630,0.5813618583679199,0,50-60%
63715,0.5980354232788085,0,50-60%
63879,0.4691858255068461,0,30-40%
63534,0.5826170090039571,0,50-60%
65546,0.5808436555862426,0,50-60%
63741,0.6502782665888468,0,60-70%
63633,0.6499259713490804,0,60-70%
63661,0.6541239304542541,0,60-70%
64974,0.5424668156305948,0,40-50%
68992,0.5878715200424194,0,50-60%
63551,0.6762467308044433,0,60-70%
63827,0.6536022666295369,0,60-70%
63596,0.6451607031822204,0,60-70%
63863,0.5770758035977681,0,50-60%
63852,0.5672701838811238,0,40-50%
63666,0.5163258555730184,0,40-50%
63689,0.584070738474528,0,50-60%
68993,0.6353190782864888,0,50-60%
68994,0.5966474695205688,0,50-60%
68995,0.5870892368952433,0,50-60%
68996,0.6248786134719848,0,50-60%
68997,0.6360040866533915,0,50-60%
68998,0.6029946171442667,0,50-60%
68999,0.5086206439336141,0,40-50%
69000,0.6333515329360961,0,50-60%
69001,0.6678671204249064,0,60-70%
69002,0.578810835202535,0,50-60%
69003,0.5944526755015055,0,50-60%
69004,0.9158826751708984,0,90-100%
69005,0.584287520567576,0,50-60%
69006,0.7311447226206461,0,70-80%
69007,0.5988850835164388,0,50-60%
69008,0.6004741433461507,0,50-60%
64976,0.5907111131350199,0,50-60%
64977,0.4762137773831685,0,30-40%
64973,0.5833398663202921,0,50-60%
